query_name,query_ra_deg,query_dec_deg,obs_publisher_did,project_code,target_name,t_min,t_max,t_exptime,instrument_name,dataproduct_type,access_format,access_estsize,access_url,proprietary_status,configuration,freq_min,freq_max,s_ra,s_dec,_status,_nrows,_error,_ra_mode
0005+383,1.488230870833333,38.33754126944444,24B-465.sb47226343.eb47329790.60643.9672167824,24B-465,J0005+3820,60643.98902488426,60643.99040972223,119.65,EVLA,visibility,Execution Block,9222748,https://data.nrao.edu/portal/#/productViewer/24B-465.sb47226343.eb47329790.60643.9672167824,PUBLIC,A,4488000000.0,6384000000.0,1.4882308693514288,38.33754127110532,hit,5,,hms
0005+383,1.488230870833333,38.33754126944444,24B-465.sb47226343.eb47329790.60643.9672167824,24B-465,J0005+3820,60643.984523148145,60643.98590798611,119.65,EVLA,visibility,Execution Block,9222748,https://data.nrao.edu/portal/#/productViewer/24B-465.sb47226343.eb47329790.60643.9672167824,PUBLIC,A,4488000000.0,6384000000.0,1.4882308693514288,38.33754127110532,hit,5,,hms
0005+383,1.488230870833333,38.33754126944444,24B-465.sb47226343.eb47329790.60643.9672167824,24B-465,J0005+3820,60643.98002141204,60643.98140682871,119.7,EVLA,visibility,Execution Block,9222748,https://data.nrao.edu/portal/#/productViewer/24B-465.sb47226343.eb47329790.60643.9672167824,PUBLIC,A,4488000000.0,6384000000.0,1.4882308693514288,38.33754127110532,hit,5,,hms
0005+383,1.488230870833333,38.33754126944444,24B-465.sb47226343.eb47329790.60643.9672167824,24B-465,J0005+3820,60643.974480902776,60643.97655902777,179.55,EVLA,visibility,Execution Block,9222748,https://data.nrao.edu/portal/#/productViewer/24B-465.sb47226343.eb47329790.60643.9672167824,PUBLIC,A,4488000000.0,6384000000.0,1.4882308693514288,38.33754127110532,hit,5,,hms
0005+383,1.488230870833333,38.33754126944444,24B-465.sb47225689.eb47312495.60638.999888136575,24B-465,J0005+3820,60639.014,60639.01538483796,119.65,EVLA,visibility,Execution Block,10003104,https://data.nrao.edu/portal/#/productViewer/24B-465.sb47225689.eb47312495.60638.999888136575,PUBLIC,A,7988000000.0,9884000000.0,1.4882308693514288,38.33754127110532,hit,5,,hms
0006-063,1.5578870583333333,-6.393148694444445,pointing_no_OTT_X_002.60768.6679715162,Operations,0006-063,60768.67256423611,60768.67258738426,2.0,EVLA,visibility,Execution Block,757720,https://data.nrao.edu/portal/#/productViewer/pointing_no_OTT_X_002.60768.6679715162,PUBLIC,D,8160000000.0,8760000000.0,1.557887083333451,-6.39314833333307,hit,5,,hms
0006-063,1.5578870583333333,-6.393148694444445,pointing_no_OTT_X_002.60768.6679715162,Operations,0006-063,60768.67111631944,60768.67117534723,5.1,EVLA,visibility,Execution Block,757720,https://data.nrao.edu/portal/#/productViewer/pointing_no_OTT_X_002.60768.6679715162,PUBLIC,D,8160000000.0,8760000000.0,1.557887083333451,-6.39314833333307,hit,5,,hms
0006-063,1.5578870583333333,-6.393148694444445,pointing_no_OTT_X_002.60768.6679715162,Operations,0006-063,60768.67117534723,60768.671406828704,20.0,EVLA,visibility,Execution Block,757720,https://data.nrao.edu/portal/#/productViewer/pointing_no_OTT_X_002.60768.6679715162,PUBLIC,D,8160000000.0,8760000000.0,1.557887083333451,-6.39314833333307,hit,5,,hms
0006-063,1.5578870583333333,-6.393148694444445,pointing_no_OTT_X_002.60768.6679715162,Operations,0006-063,60768.671406828704,60768.67163831019,20.0,EVLA,visibility,Execution Block,757720,https://data.nrao.edu/portal/#/productViewer/pointing_no_OTT_X_002.60768.6679715162,PUBLIC,D,8160000000.0,8760000000.0,1.557887083333451,-6.39314833333307,hit,5,,hms
0006-063,1.5578870583333333,-6.393148694444445,pointing_no_OTT_X_002.60768.6679715162,Operations,0006-063,60768.67163831019,60768.671869791666,20.0,EVLA,visibility,Execution Block,757720,https://data.nrao.edu/portal/#/productViewer/pointing_no_OTT_X_002.60768.6679715162,PUBLIC,D,8160000000.0,8760000000.0,1.557887083333451,-6.39314833333307,hit,5,,hms
0010+174,2.6416275791666664,17.40521148611111,test_003.57426.92263109954,Operations,0010+174,57426.92267997685,57426.92296296296,24.45,EVLA,visibility,Execution Block,449484,https://data.nrao.edu/portal/#/productViewer/test_003.57426.92263109954,PUBLIC,C,8160000000.0,8760000000.0,2.6416275000002,17.40521166666649,hit,5,,hms
0010+174,2.6416275791666664,17.40521148611111,pointing_no_OTT_X_002.60768.6679715162,Operations,0010+174,60768.67457118055,60768.6745943287,2.0,EVLA,visibility,Execution Block,757720,https://data.nrao.edu/portal/#/productViewer/pointing_no_OTT_X_002.60768.6679715162,PUBLIC,D,8160000000.0,8760000000.0,2.6416275000002,17.40521166666649,hit,5,,hms
0010+174,2.6416275791666664,17.40521148611111,pointing_no_OTT_X_002.60768.6679715162,Operations,0010+174,60768.67312326389,60768.67318229168,5.1,EVLA,visibility,Execution Block,757720,https://data.nrao.edu/portal/#/productViewer/pointing_no_OTT_X_002.60768.6679715162,PUBLIC,D,8160000000.0,8760000000.0,2.6416275000002,17.40521166666649,hit,5,,hms
0010+174,2.6416275791666664,17.40521148611111,pointing_no_OTT_X_002.60768.6679715162,Operations,0010+174,60768.67341377315,60768.67364525464,20.0,EVLA,visibility,Execution Block,757720,https://data.nrao.edu/portal/#/productViewer/pointing_no_OTT_X_002.60768.6679715162,PUBLIC,D,8160000000.0,8760000000.0,2.6416275000002,17.40521166666649,hit,5,,hms
0010+174,2.6416275791666664,17.40521148611111,pointing_no_OTT_X_002.60768.6679715162,Operations,0010+174,60768.67318229168,60768.67341377315,20.0,EVLA,visibility,Execution Block,757720,https://data.nrao.edu/portal/#/productViewer/pointing_no_OTT_X_002.60768.6679715162,PUBLIC,D,8160000000.0,8760000000.0,2.6416275000002,17.40521166666649,hit,5,,hms
0011-262,2.7551947999999995,-26.209271425,20A-282.sb38282277.eb38435334.59034.40280635416,20A-282,J0011-2612,59034.42185763889,59034.4235891088,149.6,EVLA,visibility,Execution Block,5947361,https://data.nrao.edu/portal/#/productViewer/20A-282.sb38282277.eb38435334.59034.40280635416,PUBLIC,B,4488000000.0,6384000000.0,2.755194800353706,-26.209271424133913,hit,5,,hms
0011-262,2.7551947999999995,-26.209271425,20A-282.sb38282277.eb38435334.59034.40280635416,20A-282,J0011-2612,59034.41112326389,59034.413546874996,209.4,EVLA,visibility,Execution Block,5947361,https://data.nrao.edu/portal/#/productViewer/20A-282.sb38282277.eb38435334.59034.40280635416,PUBLIC,B,4488000000.0,6384000000.0,2.755194800353706,-26.209271424133913,hit,5,,hms
0011-262,2.7551947999999995,-26.209271425,16B-224.sb34284189.eb34432745.58013.33004472222,16B-224,J0011-2612,58013.365115162036,58013.36580729166,59.8,EVLA,visibility,Execution Block,15732865,https://data.nrao.edu/portal/#/productViewer/16B-224.sb34284189.eb34432745.58013.33004472222,PUBLIC,B,1008000000.0,1968000000.0,2.755194800353706,-26.209271424133913,hit,5,,hms
