name,ra,dec,band_guess,band_code,size_gb,date_utc,gain_calibrator_name,gain_onsource_min,gain_array_config,access_url,ra_deg,dec_deg,ra_rad,dec_rad,folder,wget_command,status,new_size,wget_error,downloaded_folder,extracted_ms,spw_selected,extracted_gain_onsource_min,caltables_found,corrected_used,size,spw_center_ghz,spw_bandwidth_mhz,spw_unflagged_frac,spw_n_rows,spw_matches_band
2341-351,23:41:45.891000,-35:06:22.130000,L,L,12.247746,2017-07-19 00:00:00+00:00,J2341-3506,54.84666664036922,C,https://data.nrao.edu/portal/#/productViewer/17A-293.sb33848958.eb34037770.57953.347049814816,355.44121249999995,-35.106147222222226,-0.0795658517737618,-0.6127178567176392,2341-351,"wget -r -l 10 --reject ""index.html*"" -np -nH --cut-dirs=3 https://dl-dsoc.nrao.edu/simonpedrogonzalez/23463671/ee3df31003b0298806e3ea8c5bb2f926/",done,2.259886213578284,"wget rc=8; accepted because folder present, size=22.146 GB, no expected size to compare",/Users/u1528314/repos/radioastro-ml/collect/downloads/2341-351,/Users/u1528314/repos/radioastro-ml/collect/extracted/2341-351/2341-351/2341-351.ms,0.0,58.4,1.0,1.0,,1.3631270207052022,31.96875,0.7180843102936555,715975.0,True
0447-220,4:47:37.282200,-22:03:36.805100,L,L,7.62075,2017-09-28 00:00:00+00:00,J0447-2203,31.914166681235656,B,https://data.nrao.edu/portal/#/productViewer/17B-329.sb34138166.eb34534856.58024.40257539352,71.90534249999999,-22.06022363888889,1.2549849763992105,-0.3850235362248957,0447-220,"wget -r -l 10 --reject ""index.html*"" -np -nH --cut-dirs=3 https://dl-dsoc.nrao.edu/simonpedrogonzalez/23467765/763c3a7fa8485e5ce78fe41f64e82f4e/",error,,[SPW] SPW 0 rejected: bandwidth too narrow (3.99 MHz < 10.00 MHz),/Users/u1528314/repos/radioastro-ml/collect/downloads/0447-220,/Users/u1528314/repos/radioastro-ml/collect/extracted/0447-220/0447-220/0447-220.ms,,,,,,,,,,
0739+016,7:39:18.033894,+1:37:04.618030,L,S,7.041064,2019-01-25 00:00:00+00:00,J0739+0137,30.016666684532535,C,https://data.nrao.edu/portal/#/productViewer/SE0229_sb36144333_1_1.58508.145297083334,114.825141225,1.6179494527777778,2.004076778443725,0.0282385450818127,0739+016,"wget -r -l 10 --reject ""index.html*"" -np -nH --cut-dirs=3 https://dl-dsoc.nrao.edu/simonpedrogonzalez/23471309/71fc7e187ad0e2df97f462c0689596f7/",done,0.0506592290475964,"wget rc=8; accepted because folder present, size=11.644 GB, no expected size to compare",/Users/u1528314/repos/radioastro-ml/collect/downloads/0739+016,/Users/u1528314/repos/radioastro-ml/collect/extracted/0739+016/0739+016/0739+016.ms,10.0,29.85,1.0,1.0,,3.307,126.0,0.8545147674779371,181300.0,False
1522-275,15:22:37.675991,-27:30:10.785430,L,L,13.378226,2019-09-07 00:00:00+00:00,J1522-2730,23.43583337031305,A,https://data.nrao.edu/portal/#/productViewer/19A-130.sb36178080.eb37212773.58733.88269438657,230.6569832958333,-27.502995952777777,-2.2574615059497334,-0.4800178335386471,1522-275,"wget -r -l 10 --reject ""index.html*"" -np -nH --cut-dirs=3 https://dl-dsoc.nrao.edu/simonpedrogonzalez/23475326/ed6227ca86f732d05a5dc7bd8b1963ea/",done,0.0909951860085129,"wget rc=8; accepted because folder present, size=23.397 GB, no expected size to compare",/Users/u1528314/repos/radioastro-ml/collect/downloads/1522-275,/Users/u1528314/repos/radioastro-ml/collect/extracted/1522-275/1522-275/1522-275.ms,11.0,22.65,1.0,1.0,,1.7435,63.0,0.7962883334452348,368628.0,True
0012-399,0:12:59.908000,-39:54:25.836000,C,C,11.226409,2017-11-23 00:00:00+00:00,J0012-3954,20.85833332152106,B,https://data.nrao.edu/portal/#/productViewer/17B-078.sb34399442.eb34741390.58080.15345405093,3.2496166666666664,-39.907176666666665,0.0567165102610163,-0.696511628008389,0012-399,"wget -r -l 10 --reject ""index.html*"" -np -nH --cut-dirs=3 https://dl-dsoc.nrao.edu/simonpedrogonzalez/23479416/408ffcc0c429868ea86a459d134f293b/",done,0.1796133900061249,"wget rc=8; accepted because folder present, size=20.458 GB, no expected size to compare",/Users/u1528314/repos/radioastro-ml/collect/downloads/0012-399,/Users/u1528314/repos/radioastro-ml/collect/extracted/0012-399/0012-399/0012-399.ms,13.0,19.583333333333332,0.0,1.0,,7.291,126.0,0.7079720956684662,323973.0,True
0029+349,0:29:14.242456,+34:56:32.246560,L,L,5.175655,2021-04-05 00:00:00+00:00,J0029+3456,19.945833357051015,D,https://data.nrao.edu/portal/#/productViewer/21A-386.sb39308424.eb39561699.59309.65995487268,7.309343566666666,34.942290711111106,0.1275721113977989,0.6098580210979195,0029+349,"wget -r -l 10 --reject ""index.html*"" -np -nH --cut-dirs=3 https://dl-dsoc.nrao.edu/simonpedrogonzalez/21112640/37cb301c1ce42a3fccd647cccf6af2f7/",done,1.2015413949266076,"ValueError: not enough values to unpack (expected 3, got 1)",/Users/u1528314/repos/radioastro-ml/collect/downloads/0029+349,/Users/u1528314/repos/radioastro-ml/collect/extracted/0029+349/0029+349/0029+349.ms,0.0,19.583333333333332,1.0,1.0,,1.388263920584811,31.96875,0.6357691759605067,302900.0,True
0943-083,9:43:36.944364,-8:19:30.812400,L,L,5.224599,2021-04-17 00:00:00+00:00,J0943-0819,19.945000007282943,D,https://data.nrao.edu/portal/#/productViewer/21A-386.sb39511611.eb39580570.59321.03600622685,145.90393484999998,-8.325225666666666,2.546504054747799,-0.1453025988548732,0943-083,"wget -r -l 10 --reject ""index.html*"" -np -nH --cut-dirs=3 https://dl-dsoc.nrao.edu/simonpedrogonzalez/21116412/a88e65460f6e579d793b2906e7c43f1d/",error,,,,,,,,,,,,,,
0949+662,9:49:12.210000,+66:14:59.321000,L,L S,13.64031,2021-03-24 00:00:00+00:00,J0949+6614,19.944166678469628,D,https://data.nrao.edu/portal/#/productViewer/21A-315.sb39406850.eb39523787.59297.08140472222,147.300875,66.24981138888889,2.5708852598186023,1.1562773375613489,0949+662,"wget -r -l 10 --reject ""index.html*"" -np -nH --cut-dirs=3 https://dl-dsoc.nrao.edu/simonpedrogonzalez/23918392/70b93d59e50a6b11ea6079b98683334a/",error,,download looks present but no .ms found in download folder,/Users/u1528314/repos/radioastro-ml/collect/downloads/0949+662,,,,,,,,,,,
0259+077,2:59:27.076633,+7:47:39.643230,L,L,12.159766,2023-04-09 00:00:00+00:00,J0259+0747,19.779166682856157,B,https://data.nrao.edu/portal/#/productViewer/23A-354.sb43148991.eb43786849.60043.93376165509,44.86281930416666,7.794345341666666,0.7830039085849797,0.1360369892495657,0259+077,"wget -r -l 10 --reject ""index.html*"" -np -nH --cut-dirs=3 https://dl-dsoc.nrao.edu/simonpedrogonzalez/23922430/f93f1d4fba726331dd41925deb458bc9/",done,0.7471827948465943,"wget rc=8; accepted because folder present, size=21.366 GB, no expected size to compare",/Users/u1528314/repos/radioastro-ml/collect/downloads/0259+077,/Users/u1528314/repos/radioastro-ml/collect/extracted/0259+077/0259+077/0259+077.ms,1.0,19.2,1.0,1.0,,1.4290901983631248,126.0,0.807733159331646,1066800.0,True
0121+043,1:21:56.861699,+4:22:24.734360,L,L,10.676553,2018-05-29 00:00:00+00:00,J0121+0422,19.365016700467095,A,https://data.nrao.edu/portal/#/productViewer/18A-253.sb35146759.eb35452011.58267.54645782408,20.48692374583333,4.373537322222222,0.3575642729698015,0.0763326262316339,0121+043,"wget -r -l 10 --reject ""index.html*"" -np -nH --cut-dirs=3 https://dl-dsoc.nrao.edu/simonpedrogonzalez/23926419/66c6bc99c0a830e115beb671c7cd2492/",error,,[SPW] SPW 1 rejected: bandwidth too narrow (0.50 MHz < 10.00 MHz),/Users/u1528314/repos/radioastro-ml/collect/downloads/0121+043,/Users/u1528314/repos/radioastro-ml/collect/extracted/0121+043/0121+043/0121+043.ms,,,,,,,,,,
