name,ra,dec,band_guess,band_code,size_gb,date_utc,gain_calibrator_name,gain_onsource_min,gain_array_config,access_url
0005+383,0:05:57.175409,+38:20:15.148570,C,C,9.222748,2024-11-29,J0005+3820,8.975833347067237,A,https://data.nrao.edu/portal/#/productViewer/24B-465.sb47226343.eb47329790.60643.9672167824
0006-063,0:06:13.892894,-6:23:35.335300,C,C,7.234304,2018-11-29,J0006-0623,8.9758333156351,C,https://data.nrao.edu/portal/#/productViewer/18B-126.sb35791059.eb35954550.58451.07074417824
0010-418,0:10:52.519686,-41:53:10.790750,L,L,39.190578,2018-01-16,J0010-4153,14.460833341581747,B,https://data.nrao.edu/portal/#/productViewer/17B-287.sb34173996.eb34830790.58134.97085854167
0012-399,0:12:59.908000,-39:54:25.836000,C,C,11.226409,2017-11-23,J0012-3954,20.85833332152106,B,https://data.nrao.edu/portal/#/productViewer/17B-078.sb34399442.eb34741390.58080.15345405093
0016-002,0:16:11.088554,-0:15:12.445280,L,L S,28.531026,2022-04-18,J2134-0153,7.811666645575315,A,https://data.nrao.edu/portal/#/productViewer/22A-253.sb41536837.eb41773145.59687.589951435184
0019+203,0:19:37.854504,+20:21:45.644610,KU,K X,40.43832,2023-08-07,J0019+2021,5.817499982658774,A,https://data.nrao.edu/portal/#/productViewer/23A-324.sb44360040.eb44410108.60163.599750497684
0019+734,0:19:45.786427,+73:27:30.017450,L,C L,17.446075,2019-09-14,J0019+7327,6.980816685827449,A,https://data.nrao.edu/portal/#/productViewer/19A-323.sb37229893.eb37257505.58740.53863625
0022+002,0:22:25.425930,+0:14:56.161440,L,L,3.903047,2017-06-05,J0022+0014,3.9891666651237756,C,https://data.nrao.edu/portal/#/productViewer/17A-180.sb33654640.eb33912090.57909.467544224535
0024-420,0:24:42.989921,-42:02:03.950200,L,S,11.810927,2023-05-30,J0024-4202,14.95999998296611,B,https://data.nrao.edu/portal/#/productViewer/23A-068.sb43052135.eb44031644.60094.55354649306
0025-260,0:25:49.168300,-26:02:12.695000,L,L,3.960961,2020-06-05,J0025-2602,12.465833349851891,C,https://data.nrao.edu/portal/#/productViewer/20A-438.sb38243313.eb38259470.59005.53019585648
0029+349,0:29:14.242456,+34:56:32.246560,L,L,5.175655,2021-04-05,J0029+3456,19.945833357051015,D,https://data.nrao.edu/portal/#/productViewer/21A-386.sb39308424.eb39561699.59309.65995487268
0040-017,0:40:57.611582,-1:46:32.025620,C,X,22.844065,2024-08-10,J0040-0146,3.323333328589797,B,https://data.nrao.edu/portal/#/productViewer/24A-381.sb45867846.eb46334576.60532.42686896991
0042+233,0:42:04.545183,+23:20:01.061290,L,L,8.93382,2017-11-04,0042+233,7.979166659060866,B,https://data.nrao.edu/portal/#/productViewer/17B-074.sb34053427.eb34661399.58061.40609163194
0051-068,0:51:08.209796,-6:50:02.228140,X,C X,30.056318,2022-08-04,J0051-0650,3.2416666857898235,D,https://data.nrao.edu/portal/#/productViewer/22A-378.sb41850351.eb42474683.59795.49607375
0057+303,0:57:48.883353,+30:21:08.812130,C,C X,24.134991,2024-10-30,J0057+3021,5.320000030333176,A,https://data.nrao.edu/portal/#/productViewer/24B-323.sb46973749.eb47128958.60613.051109699074
0059+001,0:59:05.514924,+0:06:51.621710,L,S,5.952183,2016-09-05,J0059+0006cal,5.484999984037131,B,https://data.nrao.edu/portal/#/productViewer/16A-202.sb32519227.eb32695245.57636.25041059028
0105+483,1:05:49.928164,+48:19:03.192580,C,C,19.466862,2023-03-15,J0105+4819,4.987500021234155,B,https://data.nrao.edu/portal/#/productViewer/23A-296.sb43705203.eb43721654.60018.09472337963
0108+015,1:08:38.771074,+1:35:00.317140,L,L,3.555156,2017-03-31,J0108+0135,11.9683333451394,D,https://data.nrao.edu/portal/#/productViewer/17A-060.sb33364047.eb33638732.57843.627024050926
0110-076,1:10:50.020945,-7:41:41.113690,C,X,24.252156,2019-08-20,J0110-0741,3.4900000027846545,A,https://data.nrao.edu/portal/#/productViewer/19A-223.sb36969900.eb37092511.58715.424748749996
0110+565,1:10:57.561000,+56:32:16.932000,L,L,177.303795,2020-10-12,J2007+4029,7.41250000661239,B,https://data.nrao.edu/portal/#/productViewer/20A-519.sb38216477.eb38715697.59134.048009907405
0112+227,1:12:05.824718,+22:44:38.786190,C,C,8.108007,2021-03-30,J0112+2244,13.364166672108695,D,https://data.nrao.edu/portal/#/productViewer/20B-149.sb39550506.eb39551125.59303.60019144676
0115-014,1:15:17.099972,-1:27:04.577370,C,C,18.715702,2024-12-03,J0115-0127,3.906666641123593,A,https://data.nrao.edu/portal/#/productViewer/24B-307.sb47036639.eb47340251.60647.01659290509
0116-116,1:16:12.521963,-11:36:15.434050,C,C,13.995453,2023-09-15,J0116-1136,6.083333319984376,A,https://data.nrao.edu/portal/#/productViewer/23A-188.sb44223980.eb44533737.60202.30663789352
0116-208,1:16:51.404300,-20:52:06.813000,L,L,17.588164,2024-04-21,J0116-2052,4.985833311220631,C,https://data.nrao.edu/portal/#/productViewer/24A-050.sb45130044.eb45528571.60421.72947091435
0118-216,1:18:57.262140,-21:41:30.139550,X,C X,16.126799,2020-02-28,J0118-2141,10.469999987399206,C,https://data.nrao.edu/portal/#/productViewer/20A-239.sb37934331.eb37949308.58906.984111087964
0119+321,1:19:35.000447,+32:10:50.054290,L,S,12.615356,2024-08-18,J0119+3210,7.977500011911616,B,https://data.nrao.edu/portal/#/productViewer/24A-478.sb46137593.eb46351813.60540.28640730324
0121+043,1:21:56.861699,+4:22:24.734360,L,L,10.676553,2018-05-29,J0121+0422,19.365016700467095,A,https://data.nrao.edu/portal/#/productViewer/18A-253.sb35146759.eb35452011.58267.54645782408
0129+236,1:29:59.801300,+23:38:20.728000,L,L,6.432334,2017-04-09,J0129+2338,3.989999972982332,D,https://data.nrao.edu/portal/#/productViewer/16A-232.sb33433656.eb33643406.57852.696646400465
0132-169,1:32:43.487454,-16:54:48.521370,C,C,7.717886,2018-09-30,J0132-1654,11.10248333425261,D,https://data.nrao.edu/portal/#/productViewer/SE0229.sb35615505.eb35618725_000.58391.15663732639
0141+138,1:41:09.154500,+13:53:28.033000,L,L,13.588724,2022-07-22,J0141+1353,11.967500005848706,D,https://data.nrao.edu/portal/#/productViewer/22A-023.sb41895658.eb42437782.59782.36632863426
0141-094,1:41:25.832025,-9:28:43.673810,C,C KU,16.124466,2024-05-24,J0141-0928,4.322499992558733,B,https://data.nrao.edu/portal/#/productViewer/24A-138.sb45493240.eb46118526.60454.73741081019
0145-275,1:45:03.394589,-27:33:34.328870,L,S,5.951986,2016-09-05,J0145-2733cal,5.98416666733101,B,https://data.nrao.edu/portal/#/productViewer/16A-202.sb32459446.eb32695956.57636.45354387732
0149+059,1:49:22.370886,+5:55:53.568660,C,C,7.161463,2018-12-07,J0149+0555,8.475833345437422,C,https://data.nrao.edu/portal/#/productViewer/18B-126.sb35791518.eb35982876.58459.054627314814
0151+277,1:51:27.146149,+27:44:41.793650,X,K X,37.021755,2018-11-24,J0029+3456,3.9891666546463966,C,https://data.nrao.edu/portal/#/productViewer/18B-245.sb35916319.eb35934952.58446.20829001158
0153-331,1:53:10.121744,-33:10:25.861310,C,C,3.76091,2017-11-02,J0153-3310,3.990000004414469,B,https://data.nrao.edu/portal/#/productViewer/17B-027.sb34092487.eb34648152.58059.21447368056
0154+477,1:54:56.289876,+47:43:26.539140,C,C,28.66316,2023-07-30,J0154+4743,4.986666660988703,A,https://data.nrao.edu/portal/#/productViewer/23A-328.sb44271770.eb44394915.60155.60467678241
0155-408,1:55:37.059378,-40:48:42.356450,L,L,48.54845,2019-09-04,J0145-2733,8.22666666819714,A,https://data.nrao.edu/portal/#/productViewer/19A-056.sb37061537.eb37180589.58730.4308771875
