name,ra,dec,band_guess,configs,reason
0010+174,0:10:33.990619,+17:24:18.761350,L,A,no valid dataset found (needs has_caltables + probable_gain_calibrator)
0011-262,0:11:01.246752,-26:12:33.377130,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0014+612,0:14:48.815400,+61:17:43.852900,L,D,no valid dataset found (needs has_caltables + probable_gain_calibrator)
0017+815,0:17:08.474953,+81:35:08.136330,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0022+061,0:22:32.441226,+6:08:04.268930,X,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0038+416,0:38:24.843610,+41:37:06.000570,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0040+331,0:40:55.059600,+33:10:08.267000,L,D,no valid dataset found (needs has_caltables + probable_gain_calibrator)
0044-355,0:44:41.229400,-35:30:41.628000,L,D,no valid dataset found (needs has_caltables + probable_gain_calibrator)
0050-094,0:50:41.317390,-9:29:05.210210,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0102+584,1:02:45.762384,+58:24:11.136620,L,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0106-405,1:06:45.107966,-40:34:19.960360,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0111+391,1:11:37.316982,+39:06:28.104300,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0113+023,1:13:43.144951,+2:22:17.316310,X,A,no valid dataset found (needs has_caltables + probable_gain_calibrator)
0122+250,1:22:38.815999,+25:02:31.793180,X,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0125-000,1:25:28.843788,-0:05:55.931800,C,"A,B",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0134-095,1:34:35.667600,-9:31:03.072000,C,D,no valid dataset found (needs has_caltables + probable_gain_calibrator)
0135-201,1:35:37.509375,-20:08:45.861680,X,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0136+478,1:36:58.594810,+47:51:29.100060,L,"A,B",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0137+331,1:37:41.299431,+33:09:35.132990,L,"B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0152+221,1:52:18.059047,+22:07:07.700040,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0203-438,2:03:40.754300,-43:49:50.783000,L,D,no valid dataset found (needs has_caltables + probable_gain_calibrator)
0204-170,2:04:57.674350,-17:01:19.840180,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0217+738,2:17:30.813363,+73:49:32.621760,L,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0222-346,2:22:56.401625,-34:41:28.730110,X,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0228+673,2:28:50.051459,+67:21:03.029260,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0231+133,2:31:45.894054,+13:22:54.716270,C,D,no valid dataset found (needs has_caltables + probable_gain_calibrator)
0237+288,2:37:52.405678,+28:48:08.990080,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0238+166,2:38:38.930108,+16:36:59.274710,L,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0241-082,2:41:04.798520,-8:15:20.751840,C,"A,B",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0244+624,2:44:57.696827,+62:28:06.514590,X,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0251+432,2:51:34.536779,+43:15:15.828580,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0303+472,3:03:35.242226,+47:16:16.275460,L,"A,B",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0314+432,3:14:43.641300,+43:14:05.562000,L,"C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0319+415,3:19:48.160102,+41:30:42.103050,L,"A,B",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0319+190,3:19:51.256732,+19:01:31.290890,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0339-017,3:39:30.937787,-1:46:35.803990,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0359+323,3:59:44.912900,+32:20:47.155500,KU,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0403-360,4:03:53.749908,-36:05:01.913200,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0406-384,4:06:59.035347,-38:26:28.042060,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0407-330,4:07:33.921100,-33:03:46.001000,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0423-013,4:23:15.800727,-1:20:33.065310,L,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0423+348,4:23:53.241000,+34:51:44.540000,L,D,no valid dataset found (needs has_caltables + probable_gain_calibrator)
0424-379,4:24:42.243727,-37:56:20.784230,C,"A,B",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0428-379,4:28:40.424306,-37:56:19.580310,X,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0438+488,4:38:59.107800,+48:48:46.582000,L,"A,B",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0439-453,4:39:00.854714,-45:22:22.562600,X,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0440-435,4:40:17.179992,-43:33:08.604060,C,"A,B",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0442-002,4:42:38.660762,-0:17:43.419100,C,A,no valid dataset found (needs has_caltables + probable_gain_calibrator)
0455-462,4:55:50.772498,-46:15:58.682330,L,D,no valid dataset found (needs has_caltables + probable_gain_calibrator)
0501-019,5:01:12.809888,-1:59:14.256200,X,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0503+020,5:03:21.197177,+2:03:04.676380,L,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0510+180,5:10:02.369122,+18:00:41.581710,X,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0530+135,5:30:56.416744,+13:31:55.149550,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0532+075,5:32:38.998531,+7:32:43.345860,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0536-340,5:36:28.438300,-34:01:11.381000,C,"A,B",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0541+532,5:41:16.174035,+53:12:24.834150,C,"A,B",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0542+498,5:42:36.137916,+49:51:07.233560,L,"C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0552+032,5:52:50.101478,+3:13:27.243150,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0604-424,6:04:25.177900,-42:25:29.593000,X,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0605+405,6:05:50.855350,+40:30:08.103030,KU,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0607-085,6:07:59.699243,-8:34:49.978150,L,"A,B,C",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0609+480,6:09:32.536400,+48:04:15.571000,L,D,no valid dataset found (needs has_caltables + probable_gain_calibrator)
0625+146,6:25:45.918700,+14:40:19.550000,C,D,no valid dataset found (needs has_caltables + probable_gain_calibrator)
0626+820,6:26:03.006188,+82:02:25.567640,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0641-033,6:41:51.133500,-3:20:48.500000,X,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0644-349,6:44:25.281700,-34:59:42.140000,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
