name,ra,dec,wavelength,receiver,flux_jy,usable_configs,usable_A,usable_B,usable_C,usable_D,cfg_A,cfg_B,cfg_C,cfg_D
0005+383,00h05m57.175409s,"38d20'15.148570""",6cm,C,0.8,"A,B,C,D",True,True,True,True,P,P,P,P
0005+383,00h05m57.175409s,"38d20'15.148570""",3.7cm,X,1.1,"A,B,C,D",True,True,True,True,P,P,P,P
0006-063,00h06m13.892894s,"-06d23'35.335300""",6cm,C,1.3,"A,B,C,D",True,True,True,True,P,P,P,P
0006-063,00h06m13.892894s,"-06d23'35.335300""",3.7cm,X,1.6,"A,B,C,D",True,True,True,True,P,P,P,P
0006-063,00h06m13.892894s,"-06d23'35.335300""",2cm,U,1.1,"A,B,C,D",True,True,True,True,P,P,P,P
0010+174,00h10m33.990619s,"17d24'18.761350""",20cm,L,0.9,A,True,False,False,False,P,S,X,X
0010+174,00h10m33.990619s,"17d24'18.761350""",6cm,C,0.98,"A,B,C,D",True,True,True,True,P,P,P,P
0010+174,00h10m33.990619s,"17d24'18.761350""",3.7cm,X,0.95,"A,B,C,D",True,True,True,True,P,P,P,P
0010-418,00h10m52.519686s,"-41d53'10.790750""",20cm,L,4.1,"A,B,C,D",True,True,True,True,P,P,P,P
0010-418,00h10m52.519686s,"-41d53'10.790750""",6cm,C,1.25,"C,D",False,False,True,True,X,S,P,P
0011-262,00h11m01.246752s,"-26d12'33.377130""",6cm,C,0.8,"A,B,C,D",True,True,True,True,P,P,P,P
0012-399,00h12m59.9080s,"-39d54'25.836""",6cm,C,1.5,"A,B,C,D",True,True,True,True,P,P,P,P
0012-399,00h12m59.9080s,"-39d54'25.836""",3.7cm,X,1.6,"A,B,C,D",True,True,True,True,P,P,P,P
0012-399,00h12m59.9080s,"-39d54'25.836""",1.3cm,K,1.2,"A,B,C,D",True,True,True,True,P,P,P,P
0014+612,00h14m48.8154s,"61d17'43.8529""",20cm,L,3.85,D,False,False,False,True,X,X,S,P
0016-002,00h16m11.088554s,"-00d15'12.445280""",20cm,L,0.85,"A,B",True,True,False,False,P,P,S,X
0016-002,00h16m11.088554s,"-00d15'12.445280""",6cm,C,0.62,"A,B,C,D",True,True,True,True,P,P,P,P
0016-002,00h16m11.088554s,"-00d15'12.445280""",3.7cm,X,0.56,"A,B,C,D",True,True,True,True,P,P,P,P
0017+815,00h17m08.474953s,"81d35'08.136330""",6cm,C,1.05,"A,B,C,D",True,True,True,True,P,P,P,P
0017+815,00h17m08.474953s,"81d35'08.136330""",3.7cm,X,1.1,"A,B,C,D",True,True,True,True,P,P,P,P
0019+203,00h19m37.854504s,"20d21'45.644610""",2cm,U,1.1,"A,B,C,D",True,True,True,True,P,P,P,P
0019+734,00h19m45.786427s,"73d27'30.017450""",20cm,L,1.0,A,True,False,False,False,P,S,X,X
0019+734,00h19m45.786427s,"73d27'30.017450""",6cm,C,1.3,"A,B,C,D",True,True,True,True,P,P,P,P
0019+734,00h19m45.786427s,"73d27'30.017450""",3.7cm,X,1.48,"A,B,C,D",True,True,True,True,P,P,P,P
0019+734,00h19m45.786427s,"73d27'30.017450""",2cm,U,1.4,"A,B,C,D",True,True,True,True,P,P,P,P
0022+002,00h22m25.425930s,"00d14'56.161440""",20cm,L,2.7,"A,B,C,D",True,True,True,True,P,P,P,P
0022+002,00h22m25.425930s,"00d14'56.161440""",6cm,C,1.1,"B,C,D",False,True,True,True,S,P,P,P
0022+002,00h22m25.425930s,"00d14'56.161440""",3.7cm,X,0.64,"B,C,D",False,True,True,True,X,P,P,P
0022+061,00h22m32.441226s,"06d08'04.268930""",3.7cm,X,0.78,"A,B,C,D",True,True,True,True,P,P,P,P
0024-420,00h24m42.989921s,"-42d02'03.950200""",20cm,L,2.8,"A,B,C,D",True,True,True,True,P,P,P,P
0024-420,00h24m42.989921s,"-42d02'03.950200""",6cm,C,1.7,"A,B,C,D",True,True,True,True,P,P,P,P
0024-420,00h24m42.989921s,"-42d02'03.950200""",3.7cm,X,0.94,"A,B,C,D",True,True,True,True,P,P,P,P
0025-260,00h25m49.1683s,"-26d02'12.695""",20cm,L,8.3,"C,D",False,False,True,True,X,S,P,P
0025-260,00h25m49.1683s,"-26d02'12.695""",6cm,C,3.5,D,False,False,False,True,X,X,S,P
0029+349,00h29m14.242456s,"34d56'32.246560""",20cm,L,1.89,"A,B,C,D",True,True,True,True,P,P,P,P
0029+349,00h29m14.242456s,"34d56'32.246560""",6cm,C,1.85,"A,B,C,D",True,True,True,True,P,P,P,P
0029+349,00h29m14.242456s,"34d56'32.246560""",3.7cm,X,0.96,"A,B,C,D",True,True,True,True,P,P,P,P
0038+416,00h38m24.843610s,"41d37'06.000570""",6cm,C,0.95,"A,B,C,D",True,True,True,True,P,P,P,P
0038+416,00h38m24.843610s,"41d37'06.000570""",3.7cm,X,1.14,"A,B,C,D",True,True,True,True,P,P,P,P
0038+416,00h38m24.843610s,"41d37'06.000570""",2cm,U,1.3,"A,B,C,D",True,True,True,True,P,P,P,P
0040+331,00h40m55.0596s,"33d10'08.267""",20cm,L,3.2,D,False,False,False,True,X,X,X,P
0040-017,00h40m57.611582s,"-01d46'32.025620""",6cm,C,0.6,"A,B",True,True,False,False,P,P,S,S
0040-017,00h40m57.611582s,"-01d46'32.025620""",3.7cm,X,0.57,"A,B,C,D",True,True,True,True,P,P,P,P
0042+233,00h42m04.545183s,"23d20'01.061290""",20cm,L,0.78,"A,B",True,True,False,False,P,P,X,X
0042+233,00h42m04.545183s,"23d20'01.061290""",6cm,C,0.85,"A,B,C,D",True,True,True,True,P,P,P,P
0042+233,00h42m04.545183s,"23d20'01.061290""",3.7cm,X,1.18,"A,B,C,D",True,True,True,True,P,P,P,P
0044-355,00h44m41.2294s,"-35d30'41.628""",20cm,L,2.45,D,False,False,False,True,X,X,S,P
0050-094,00h50m41.317390s,"-09d29'05.210210""",6cm,C,1.12,"A,B,C,D",True,True,True,True,P,P,P,P
0050-094,00h50m41.317390s,"-09d29'05.210210""",3.7cm,X,1.28,"A,B,C,D",True,True,True,True,P,P,P,P
0050-094,00h50m41.317390s,"-09d29'05.210210""",2cm,U,1.7,"A,B,C,D",True,True,True,True,P,P,P,P
0051-068,00h51m08.209796s,"-06d50'02.228140""",3.7cm,X,0.72,"C,D",False,False,True,True,X,X,P,P
0057+303,00h57m48.883353s,"30d21'08.812130""",6cm,C,0.59,A,True,False,False,False,P,S,X,X
0057+303,00h57m48.883353s,"30d21'08.812130""",3.7cm,X,0.64,"A,B",True,True,False,False,P,P,S,X
0059+001,00h59m05.514924s,"00d06'51.621710""",20cm,L,2.5,"A,B,C,D",True,True,True,True,P,P,P,P
0059+001,00h59m05.514924s,"00d06'51.621710""",6cm,C,1.35,"B,C,D",False,True,True,True,S,P,P,P
0059+001,00h59m05.514924s,"00d06'51.621710""",3.7cm,X,0.96,"C,D",False,False,True,True,X,S,P,P
0102+584,01h02m45.762384s,"58d24'11.136620""",20cm,L,0.94,"A,B,C,D",True,True,True,True,P,P,P,P
0102+584,01h02m45.762384s,"58d24'11.136620""",6cm,C,1.2,"A,B,C,D",True,True,True,True,P,P,P,P
0102+584,01h02m45.762384s,"58d24'11.136620""",3.7cm,X,2.7,"A,B,C,D",True,True,True,True,P,P,P,P
0102+584,01h02m45.762384s,"58d24'11.136620""",2cm,U,2.3,"A,B,C,D",True,True,True,True,P,P,P,P
0105+483,01h05m49.928164s,"48d19'03.192580""",6cm,C,0.95,"A,B,C,D",True,True,True,True,P,P,P,P
