name,frame,ra,dec,band_idx,wavelength_old,receiver_old,cfg_A_old,cfg_B_old,cfg_C_old,cfg_D_old,uvmin_kl_old,uvmax_kl_old,wavelength_new,receiver_new,cfg_A_new,cfg_B_new,cfg_C_new,cfg_D_new,uvmin_kl_new,uvmax_kl_new
0003-174,J2000,00h03m21.9969s,"-17d27'11.781""",0,90cm,P,X,S,S,S,7.0,,90cm,P,X,S,S,S,,7.0
0003-174,J2000,00h03m21.9969s,"-17d27'11.781""",1,20cm,L,X,X,X,S,7.0,,20cm,L,X,X,X,S,,7.0
0006-000,J2000,00h06m22.6338s,"-00d04'24.086""",0,90cm,P,X,X,S,S,3.0,,90cm,P,X,X,S,S,,3.0
0006-000,J2000,00h06m22.6338s,"-00d04'24.086""",1,20cm,L,X,X,X,S,3.0,,20cm,L,X,X,X,S,,3.0
0006-063,J2000,00h06m13.892894s,"-06d23'35.335300""",0,20cm,L,S,X,X,X,45.0,,20cm,L,S,X,X,X,45.0,
0010+174,J2000,00h10m33.990619s,"17d24'18.761350""",0,20cm,L,P,S,X,X,15.0,,20cm,L,P,S,X,X,15.0,
0010-418,J2000,00h10m52.519686s,"-41d53'10.790750""",0,20cm,L,P,P,P,P,100.0,,20cm,L,P,P,P,P,,100.0
0010-418,J2000,00h10m52.519686s,"-41d53'10.790750""",1,6cm,C,X,S,P,P,100.0,,6cm,C,X,S,P,P,,100.0
0010-418,J2000,00h10m52.519686s,"-41d53'10.790750""",2,3.7cm,X,X,X,S,S,100.0,,3.7cm,X,X,X,S,S,,100.0
0010-418,J2000,00h10m52.519686s,"-41d53'10.790750""",3,2cm,U,X,X,X,X,100.0,,2cm,U,X,X,X,X,,100.0
0011-262,J2000,00h11m01.246752s,"-26d12'33.377130""",0,20cm,L,S,S,S,X,6.0,,20cm,L,S,S,S,X,6.0,
0013+408,J2000,00h13m31.130213s,"40d51'37.144070""",0,20cm,L,X,X,X,X,6.0,,20cm,L,X,X,X,X,,6.0
0013+408,J2000,00h13m31.130213s,"40d51'37.144070""",2,3.7cm,X,S,X,X,X,200.0,,3.7cm,X,S,X,X,X,200.0,
0014+612,J2000,00h14m48.8154s,"61d17'43.8529""",0,90cm,P,X,S,S,X,,,90cm,P,X,S,S,X,0.7,6.0
0014+612,J2000,00h14m48.8154s,"61d17'43.8529""",1,20cm,L,X,X,S,P,6.0,,20cm,L,X,X,S,P,,6.0
